,Date,24-Hour_Passes,3-Day_Passes,Total_Trips_Since_Launch,Miles_to_Date,Miles_Today,Total_Members_All_Time,Trips_in_Past_24hrs
0,10/1/2013,1004.0,,4013952.0,7713294.0,73.665,85494.0,44772
1,10/2/2013,1129.0,,4059619.0,7713370.149,76.149,85773.0,45667
2,10/3/2013,1076.0,,4104091.0,7713442.784,72.635,86333.0,44472
3,10/4/2013,1434.0,,4148180.0,7713517.007,74.223,87112.0,44089
4,10/5/2013,2971.0,,4185863.0,7713590.899,73.892,87862.0,37683
5,10/6/2013,1368.0,,4214892.0,7713640.786,49.887,88604.0,29029
6,10/7/2013,421.0,,4242396.0,7713681.11,40.324,89189.0,27504
7,10/8/2013,896.0,,4284596.0,7713750.226000001,69.116,89521.0,42200
8,10/9/2013,714.0,,4325203.0,7713812.44,62.214,89769.0,40607
9,10/10/2013,482.0,,4359310.0,7713862.172,49.732,89951.0,34107
10,10/11/2013,798.0,,4395691.0,7713918.669000001,56.497,90121.0,36381
11,10/12/2013,2855.0,,4431171.0,7713988.510000001,69.84100000000001,90301.0,35480
12,10/13/2013,2208.0,,4462672.0,7714048.066000001,59.556000000000004,90522.0,31501
13,10/14/2013,1291.0,,4498858.0,7714108.3270000005,60.261,90770.0,36186
14,10/15/2013,934.0,,4540317.0,7714174.9520000005,66.625,90977.0,41459
15,10/16/2013,789.0,,4580961.0,7714239.067000001,64.115,91171.0,40644
16,10/17/2013,815.0,,4621324.0,7714302.994000001,63.927,91343.0,40363
17,10/18/2013,1267.0,,4663099.0,7714372.159000001,69.165,91551.0,41775
18,10/19/2013,2146.0,,4695568.0,7714431.682000001,59.523,91659.0,32469
19,10/20/2013,2114.0,,4727584.0,7714492.352000001,60.67,91815.0,32016
20,10/21/2013,849.0,,4765932.0,7714554.568000001,62.216,92029.0,38348
21,10/22/2013,636.0,,4805673.0,7714614.992000001,60.424,92213.0,39741
22,10/23/2013,355.0,,4841031.0,7714665.311000001,50.318999999999996,92324.0,35358
23,10/24/2013,444.0,,4876269.0,7714715.921000001,50.61,92410.0,35238
24,10/25/2013,592.0,,4909980.0,7714766.030000001,50.108999999999995,92505.0,33711
25,10/26/2013,1387.0,,4936633.0,7714811.402000002,45.372,92598.0,26653
26,10/27/2013,1362.0,,4962613.0,7714855.817000002,44.415,92698.0,25980
27,10/28/2013,530.0,,4996911.0,7714908.460000002,52.643,92844.0,34298
28,10/29/2013,450.0,,5033191.0,7714962.2250000015,53.765,92944.0,36280
29,10/30/2013,453.0,,5071008.0,7715017.165000002,54.94,93035.0,37817
30,10/31/2013,464.0,,5104999.0,7715068.448000002,51.283,93137.0,33991
31,11/1/2013,848.0,,5138192.0,7715120.483000002,52.035,93221.0,33193
32,11/2/2013,2434.0,,5171880.0,7715185.3160000015,64.833,93320.0,33688
33,11/3/2013,831.0,,5194294.0,7715220.169000002,34.853,93424.0,22414
34,11/4/2013,429.0,,5223768.0,7715262.971000002,42.802,93495.0,29474
35,11/5/2013,471.0,,5257947.0,7715312.648000002,49.677,93598.0,34179
36,11/6/2013,627.0,,5295732.0,7715370.773000002,58.125,93706.0,37785
37,11/7/2013,221.0,,5323581.0,7715409.291000002,38.518,93804.0,27849
38,11/8/2013,456.0,,5354613.0,7715455.1630000025,45.872,93859.0,31032
39,11/9/2013,1121.0,,5378135.0,7715494.279000003,39.116,93918.0,23522
40,11/10/2013,952.0,,5399405.0,7715527.765000002,33.486,93969.0,21270
41,11/11/2013,438.0,,5428949.0,7715570.784000003,43.019,94061.0,29544
42,11/12/2013,111.0,,5450454.0,7715598.264000003,27.48,94127.0,21505
43,11/13/2013,157.0,,5475958.0,7715632.197000003,33.933,94189.0,25504
44,11/14/2013,274.0,,5505152.0,7715672.860000003,40.663000000000004,94250.0,29194
45,11/15/2013,601.0,,5536678.0,7715720.0670000035,47.207,94305.0,31526
46,11/16/2013,1696.0,,5563886.0,7715768.167000003,48.1,94361.0,27208
47,11/17/2013,652.0,,5583283.0,7715797.533000004,29.366,94425.0,19397
48,11/18/2013,515.0,,5617001.0,7715849.934000003,52.401,94533.0,33718
49,11/19/2013,198.0,,5646634.0,7715889.957000003,40.023,94593.0,29633
50,11/20/2013,252.0,,5674920.0,7715927.882000003,37.925,94652.0,28286
51,11/21/2013,289.0,,5706009.0,7715971.310000003,43.428000000000004,94697.0,31089
52,11/22/2013,352.0,,5733512.0,7716010.070000003,38.76,94739.0,27503
53,11/23/2013,858.0,,5753908.0,7716041.708000003,31.638,94768.0,20396
54,11/24/2013,137.0,,5763977.0,7716053.956000003,12.248,94808.0,10069
55,11/25/2013,118.0,,5784626.0,7716080.518000003,26.561999999999998,94843.0,20649
56,11/26/2013,89.0,,5800832.0,7716100.801000003,20.283,94873.0,16206
57,11/27/2013,49.0,,5809447.0,7716111.130000003,10.329,94897.0,8615
58,11/28/2013,211.0,,5815115.0,7716119.507000003,8.377,94912.0,5668
59,11/29/2013,351.0,,5826082.0,7716134.913000003,15.405999999999999,94928.0,10967
60,11/30/2013,401.0,,5836687.0,7716150.421000004,15.508,94955.0,10605
61,12/1/2013,456.0,,5851009.0,7716171.542000004,21.121,94997.0,14322
62,12/2/2013,240.0,,5877531.0,7716209.270000004,37.728,95071.0,26522
63,12/3/2013,252.0,,5907297.0,7716251.435000004,42.165,95140.0,29766
64,12/4/2013,252.0,,5937769.0,7716295.355000004,43.92,95197.0,30472
65,12/5/2013,311.0,,5966991.0,7716337.345000004,41.99,95250.0,29222
66,12/6/2013,62.0,,5978617.0,7716352.019000004,14.674000000000001,95296.0,11626
67,12/7/2013,456.0,,5995485.0,7716376.400000004,24.381,95334.0,16868
68,12/8/2013,180.0,,6006377.0,7716390.570000004,14.17,95354.0,10892
69,12/9/2013,58.0,,6022569.0,7716411.107000004,20.537,95401.0,16192
70,12/10/2013,39.0,,6036516.0,7716428.873000003,17.766,95418.0,13947
71,12/11/2013,93.0,,6056885.0,7716454.712000003,25.839000000000002,95444.0,20369
72,12/12/2013,69.0,,6075437.0,7716477.954000003,23.241999999999997,95479.0,18552
73,12/13/2013,161.0,,6094818.0,7716503.616000002,25.662,95507.0,19381
74,12/14/2013,39.0,,6098801.0,7716508.688000002,5.072,95516.0,3983
75,12/15/2013,76.0,,6106928.0,7716518.880000002,10.192,95535.0,8127
76,12/16/2013,67.0,,6123770.0,7716540.233000002,21.353,95568.0,16842
77,12/17/2013,15.0,,6132322.0,7716551.2420000015,11.009,95596.0,8552
78,12/18/2013,89.0,,6148568.0,7716572.493000002,21.250999999999998,95628.0,16246
79,12/19/2013,157.0,,6168877.0,7716599.447000002,26.954,95662.0,20309
80,12/20/2013,365.0,,6192726.0,7716632.957000001,33.51,95687.0,23849
81,12/21/2013,962.0,,6212088.0,7716665.317000002,32.36,95723.0,19362
82,12/22/2013,741.0,,6228426.0,7716691.608000002,26.291,95765.0,16338
83,12/23/2013,70.0,,6235942.0,7716701.0150000015,9.407,95793.0,7516
84,12/24/2013,175.0,,6247913.0,7716716.578000002,15.562999999999999,95823.0,11971
85,12/25/2013,184.0,,6251436.0,7716722.036000001,5.457999999999999,95869.0,3523
86,12/26/2013,134.0,,6262006.0,7716735.592000001,13.556,95920.0,10570
87,12/27/2013,279.0,,6274655.0,7716753.221000001,17.629,95969.0,12649
88,12/28/2013,821.0,,6287522.0,7716775.209000001,21.988000000000003,96005.0,12867
89,12/29/2013,104.0,,6291592.0,7716780.195,4.986000000000001,96032.0,4070
90,12/30/2013,336.0,,6305814.0,7716800.177,19.982,96084.0,14222
91,12/31/2013,237.0,,6317163.0,7716815.033,14.856,96125.0,11349
92,1/1/2014,268,,6323722.0,7716824.287,9.254,95971.0,6559
93,1/2/2014,66,,6333056.0,7716836.022999999,11.735999999999999,96000.0,9334
94,1/3/2014,1,,6334344.0,7716837.878,1.855,96042.0,1288
95,1/4/2014,14,,6336838.0,7716841.584,3.7060000000000004,96065.0,2494
96,1/5/2014,17,,6339775.0,7716845.304,3.72,96084.0,2937
97,1/6/2014,30,,6350256.0,7716858.319999999,13.015999999999998,96102.0,10481
98,1/7/2014,5,,6357400.0,7716866.52,8.2,96124.0,7144
99,1/8/2014,28,,6367562.0,7716878.288,11.767999999999999,96152.0,10162
100,1/9/2014,74,,6382133.0,7716896.688999999,18.401,96171.0,14571
101,1/10/2014,49,,6392818.0,7716910.1219999995,13.433,96189.0,10685
102,1/11/2014,101,,6401151.0,7716920.857,10.735,96225.0,8333
103,1/12/2014,350,,6414700.0,7716939.998,19.141,96247.0,13549
104,1/13/2014,224,,6437077.0,7716970.827,30.829,96276.0,22377
105,1/14/2014,45,,6447926.0,7716984.097999999,13.270999999999999,96348.0,10849
106,1/15/2014,241,,6471426.0,7717016.401,32.303000000000004,96391.0,23500
107,1/16/2014,208,,6492954.0,7717045.208,28.807,96453.0,21528
108,1/17/2014,282,,6514794.0,7717075.981,30.773000000000003,96509.0,21840
109,1/18/2014,176,,6525016.0,7717090.577,14.595999999999998,96576.0,10222
110,1/19/2014,194,,6534784.0,7717104.168,13.591,96616.0,9768
111,1/20/2014,133,,6549365.0,7717124.271,20.102999999999998,96654.0,14581
112,1/21/2014,5,,6553536.0,7717129.699999999,5.428999999999999,96701.0,4171
113,1/22/2014,4,,6556298.0,7717133.760999999,4.061,96733.0,2762
114,1/23/2014,9,,6562041.0,7717142.096999999,8.336,96741.0,5743
115,1/24/2014,15,,6568942.0,7717151.471999999,9.375,96757.0,6901
116,1/25/2014,34,,6573658.0,7717157.475999999,6.004,96770.0,4716
117,1/26/2014,37,,6579120.0,7717164.1669999985,6.691,96784.0,5462
118,1/27/2014,55,,6593424.0,7717182.293999999,18.127,96804.0,14304
119,1/28/2014,18,,6604490.0,7717196.015999999,13.722000000000001,96830.0,11066
120,1/29/2014,21,,6615328.0,7717209.409999999,13.394,96852.0,10838
121,1/30/2014,42,,6628526.0,7717226.323999999,16.914,96885.0,13198
122,1/31/2014,130,,6644412.0,7717247.864999999,21.541,96912.0,15886
123,2/1/2014,349,,6658209.0,7717268.572,20.706999999999997,96935.0,13797
124,2/2/2014,449,,6673218.0,7717291.487,22.915,96958.0,15009
125,2/3/2014,4,,6676057.0,7717295.1219999995,3.635,96998.0,2839
126,2/4/2014,37,,6685608.0,7717307.829999999,12.708,97025.0,9551
127,2/5/2014,8,,6688684.0,7717312.432999999,4.603,97046.0,3076
128,2/6/2014,25,,6696911.0,7717325.073999999,12.640999999999998,97061.0,8227
129,2/7/2014,36,,6706384.0,7717339.279999999,14.206,97082.0,9473
130,2/8/2014,71,,6713024.0,7717348.842999999,9.562999999999999,97094.0,6640
131,2/9/2014,47,,6718551.0,7717356.648999999,7.806,97109.0,5527
132,2/10/2014,16,,6726194.0,7717367.515999999,10.867,97128.0,7643
133,2/11/2014,22,,6735452.0,7717380.085999999,12.57,97154.0,9258
134,2/12/2014,24,,6744983.0,7717392.776999999,12.690999999999999,97174.0,9531
135,2/13/2014,3,,6745961.0,7717394.501999998,1.725,97184.0,978
136,2/14/2014,16,,6749990.0,7717401.087999999,6.586,97191.0,4029
137,2/15/2014,23,,6752502.0,7717404.921999998,3.8339999999999996,97205.0,2512
138,2/16/2014,34,,6755864.0,7717409.9849999985,5.063,97221.0,3362
139,2/17/2014,40,,6761297.0,7717418.210999998,8.226,97233.0,5433
140,2/18/2014,19,,6767024.0,7717426.603999998,8.392999999999999,97243.0,5727
141,2/19/2014,45,,6776509.0,7717440.689999999,14.085999999999999,97262.0,9485
142,2/20/2014,103,,6789480.0,7717459.396999999,18.707,97280.0,12971
143,2/21/2014,59,,6799025.0,7717471.819999999,12.423,97307.0,9545
144,2/22/2014,730,,6813286.0,7717497.765,25.945,97341.0,14261
145,2/23/2014,666,,6827853.0,7717523.063,25.298000000000002,97379.0,14567
146,2/24/2014,79,,6841972.0,7717542.301,19.238,97435.0,14119
147,2/25/2014,50,,6855975.0,7717560.0,17.699,97511.0,14003
148,2/26/2014,35,,6868143.0,7717575.039,15.039000000000001,97556.0,12168
149,2/27/2014,54,,6881281.0,7717591.081,16.042,97584.0,13138
150,2/28/2014,46,,6891764.0,7717604.098,13.017000000000001,97612.0,10483
151,3/1/2014,255,,6901708.0,7717618.462,14.364,97650.0,9944
152,3/2/2014,196,,6910725.0,7717630.75,12.288,97687.0,9017
153,3/3/2014,44,,6919343.0,7717642.77,12.02,97727.0,8618
154,3/4/2014,36,,6930837.0,7717657.243,14.472999999999999,97768.0,11494
155,3/5/2014,90,,6945771.0,7717676.39,19.147000000000002,97807.0,14934
156,3/6/2014,50,,6959529.0,7717693.51,17.12,97869.0,13758
157,3/7/2014,108,,6974265.0,7717713.319,19.809,97907.0,14736
158,3/8/2014,1211,,6992384.0,7717748.133,34.814,97970.0,18119
159,3/9/2014,496,,7005684.0,7717768.601000001,20.468,98052.0,13300
160,3/10/2014,206,,7024528.0,7717794.3780000005,25.776999999999997,98146.0,18844
161,3/11/2014,574,,7050964.0,7717836.066000001,41.688,98261.0,26436
162,3/12/2014,153,,7067237.0,7717857.869000001,21.803,98448.0,16273
163,3/13/2014,55,,7079401.0,7717873.532000001,15.663,98572.0,12164
164,3/14/2014,209,,7097146.0,7717897.071,23.539,98639.0,17745
165,3/15/2014,1316,,7116810.0,7717932.373000001,35.302,98716.0,19664
166,3/16/2014,274,,7127550.0,7717948.427,16.054000000000002,98827.0,10740
167,3/17/2014,106,,7141231.0,7717966.149,17.722,98904.0,13681
168,3/18/2014,181,,7159277.0,7717991.134000001,24.985,98995.0,18046
169,3/19/2014,87,,7173664.0,7718010.213,19.079,99082.0,14387
170,3/20/2014,292,,7194963.0,7718041.231000001,31.018,99160.0,21299
171,3/21/2014,386,,7217229.0,7718074.420000001,33.189,99280.0,22266
172,3/22/2014,1525,,7238900.0,7718116.626000001,42.206,99429.0,21671
173,3/23/2014,451,,7251746.0,7718135.731000002,19.105,99563.0,12846
174,3/24/2014,105,,7266475.0,7718154.569000002,18.838,99678.0,14729
175,3/25/2014,108,,7283863.0,7718176.704000002,22.135,99762.0,17388
176,3/26/2014,91,,7299401.0,7718196.072000002,19.368,99841.0,15538
177,3/27/2014,164,,7317567.0,7718221.374000002,25.302,99913.0,18166
